ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0
2022-03-09 01:30:00,4.65,-2000.0,8600.0,43600.0,4.66
2022-03-09 01:35:00,4.73,2000.0,600.0,24800.0,4.73
2022-03-09 01:40:00,4.78,100.0,24200.0,3200.0,4.78
2022-03-09 01:45:00,4.81,200.0,29900.0,59600.0,4.81
2022-03-09 01:50:00,4.77,-200.0,34600.0,52300.0,4.78
2022-03-09 01:55:00,4.8,-300.0,30900.0,24100.0,4.81
2022-03-09 02:00:00,4.78,400.0,14800.0,93600.0,4.78
2022-03-09 02:05:00,4.82,4900.0,42800.0,26900.0,4.82
2022-03-09 02:10:00,4.8,1900.0,1000.0,96700.0,4.8
2022-03-09 02:15:00,4.8,-100.0,14210.0,2800.0,4.81
2022-03-09 02:20:00,4.78,-5300.0,9600.0,30600.0,4.79
2022-03-09 02:25:00,4.77,2000.0,2900.0,134200.0,4.77
2022-03-09 02:30:00,4.75,300.0,19400.0,45400.0,4.75
2022-03-09 02:35:00,4.7,-1000.0,36000.0,124900.0,4.71
2022-03-09 02:40:00,4.72,1900.0,18800.0,38600.0,4.72
2022-03-09 02:45:00,4.7,-2000.0,14300.0,95800.0,4.71
2022-03-09 02:50:00,4.67,100.0,10800.0,92600.0,4.67
2022-03-09 02:55:00,4.69,-4500.0,7900.0,10200.0,4.7
2022-03-09 03:00:00,4.71,100.0,20400.0,28900.0,4.71
2022-03-09 03:05:00,4.67,-1200.0,30500.0,42600.0,4.68
2022-03-09 03:10:00,4.73,2400.0,11700.0,13600.0,4.73
2022-03-09 03:15:00,4.72,200.0,14400.0,19400.0,4.72
2022-03-09 03:20:00,4.72,-200.0,8300.0,24000.0,4.73
2022-03-09 03:25:00,4.71,-2000.0,18000.0,15700.0,4.72
2022-03-09 03:30:00,4.72,100.0,17900.0,15800.0,4.72
2022-03-09 03:35:00,,,,,
2022-03-09 03:40:00,,,,,
2022-03-09 03:45:00,,,,,
2022-03-09 03:50:00,,,,,
2022-03-09 03:55:00,,,,,
2022-03-09 04:00:00,,,,,
2022-03-09 04:05:00,,,,,
2022-03-09 04:10:00,,,,,
2022-03-09 04:15:00,,,,,
2022-03-09 04:20:00,,,,,
2022-03-09 04:25:00,,,,,
2022-03-09 04:30:00,,,,,
2022-03-09 04:35:00,,,,,
2022-03-09 04:40:00,,,,,
2022-03-09 04:45:00,,,,,
2022-03-09 04:50:00,,,,,
2022-03-09 04:55:00,,,,,
2022-03-09 05:00:00,4.78,25000.0,47700.0,13200.0,4.78
2022-03-09 05:05:00,4.75,100.0,35500.0,30100.0,4.75
2022-03-09 05:10:00,4.76,-3800.0,35100.0,47100.0,4.77
2022-03-09 05:15:00,4.77,9000.0,32300.0,37800.0,4.77
2022-03-09 05:20:00,4.73,-300.0,22200.0,40400.0,4.74
2022-03-09 05:25:00,4.72,1000.0,18900.0,84300.0,4.72
2022-03-09 05:30:00,4.67,-600.0,31300.0,700.0,4.68
2022-03-09 05:35:00,4.73,500.0,20100.0,28500.0,4.73
2022-03-09 05:40:00,4.67,-700.0,20400.0,18000.0,4.68
2022-03-09 05:45:00,4.63,-300.0,17900.0,2000.0,4.65
2022-03-09 05:50:00,4.69,3100.0,38200.0,14500.0,4.69
2022-03-09 05:55:00,4.72,-100.0,4600.0,27300.0,4.73
2022-03-09 06:00:00,4.7,200.0,47600.0,16200.0,4.7
2022-03-09 06:05:00,4.7,5000.0,54900.0,19400.0,4.7
2022-03-09 06:10:00,4.72,2800.0,96200.0,48800.0,4.72
2022-03-09 06:15:00,4.72,-100.0,19300.0,9600.0,4.74
2022-03-09 06:20:00,4.96,200.0,2200.0,61500.0,4.96
2022-03-09 06:25:00,4.92,4400.0,76500.0,65900.0,4.92
2022-03-09 06:30:00,4.89,1400.0,28300.0,90600.0,4.89
2022-03-09 06:35:00,4.94,500.0,62900.0,20800.0,4.94
2022-03-09 06:40:00,4.91,1200.0,85800.0,62900.0,4.91
2022-03-09 06:45:00,4.88,-1100.0,53800.0,172200.0,4.89
2022-03-09 06:50:00,4.91,11800.0,82900.0,145200.0,4.91
2022-03-09 06:55:00,4.9,-600.0,91200.0,172000.0,4.91
