ts,SSE_600428
2022-04-29 03:11:00,0.0
2022-04-29 03:12:00,0.0
2022-04-29 03:13:00,0.0
2022-04-29 03:14:00,0.0
2022-04-29 03:15:00,0.0
2022-04-29 03:16:00,0.0
2022-04-29 03:17:00,0.0
2022-04-29 03:18:00,0.0
2022-04-29 03:19:00,0.0
2022-04-29 03:20:00,0.0
2022-04-29 03:21:00,0.0
2022-04-29 03:22:00,0.0
2022-04-29 03:23:00,0.0
2022-04-29 03:24:00,0.0
2022-04-29 03:25:00,0.0
2022-04-29 03:26:00,0.0
2022-04-29 03:27:00,0.0
2022-04-29 03:28:00,
2022-04-29 03:29:00,
2022-04-29 05:01:00,0.0
2022-04-29 05:02:00,0.0
2022-04-29 05:03:00,0.0
2022-04-29 05:04:00,0.0
2022-04-29 05:05:00,0.0
2022-04-29 05:06:00,0.0
2022-04-29 05:07:00,0.0
2022-04-29 05:08:00,0.0
2022-04-29 05:09:00,0.0
2022-04-29 05:10:00,0.0
2022-04-29 05:11:00,0.0
2022-04-29 05:12:00,0.0
2022-04-29 05:13:00,0.0
2022-04-29 05:14:00,0.0
2022-04-29 05:15:00,0.0
2022-04-29 05:16:00,0.0
2022-04-29 05:17:00,0.0
2022-04-29 05:18:00,0.0
2022-04-29 05:19:00,0.0
2022-04-29 05:20:00,0.0
2022-04-29 05:21:00,0.0
2022-04-29 05:22:00,0.0
2022-04-29 05:23:00,0.0
2022-04-29 05:24:00,0.0
2022-04-29 05:25:00,0.0
2022-04-29 05:26:00,0.0
2022-04-29 05:27:00,0.0
2022-04-29 05:28:00,0.0
2022-04-29 05:29:00,0.0
2022-04-29 05:30:00,0.0
2022-04-29 05:31:00,0.0
2022-04-29 05:32:00,0.0
2022-04-29 05:33:00,0.0
2022-04-29 05:34:00,0.0
2022-04-29 05:35:00,0.0
2022-04-29 05:36:00,0.0
2022-04-29 05:37:00,0.0
2022-04-29 05:38:00,0.0
2022-04-29 05:39:00,0.0
2022-04-29 05:40:00,0.0
2022-04-29 05:41:00,0.0
2022-04-29 05:42:00,0.0
2022-04-29 05:43:00,0.0
2022-04-29 05:44:00,0.0
2022-04-29 05:45:00,
2022-04-29 05:46:00,
2022-04-29 05:47:00,0.0
2022-04-29 05:48:00,0.0
2022-04-29 05:49:00,0.0
2022-04-29 05:50:00,0.0
2022-04-29 05:51:00,0.0
2022-04-29 05:52:00,0.0
2022-04-29 05:53:00,0.0
2022-04-29 05:54:00,0.0
2022-04-29 05:55:00,
2022-04-29 05:56:00,
2022-04-29 05:57:00,0.0
2022-04-29 05:58:00,
2022-04-29 05:59:00,
2022-04-29 06:00:00,
2022-04-29 06:01:00,
2022-04-29 06:02:00,
2022-04-29 06:03:00,
2022-04-29 06:04:00,0.0
2022-04-29 06:05:00,0.0
2022-04-29 06:06:00,0.0
2022-04-29 06:07:00,0.0
2022-04-29 06:08:00,0.0
2022-04-29 06:09:00,0.0
2022-04-29 06:10:00,0.0
2022-04-29 06:11:00,0.0
2022-04-29 06:12:00,0.0
2022-04-29 06:13:00,0.0
2022-04-29 06:14:00,0.0
2022-04-29 06:15:00,0.0
2022-04-29 06:16:00,0.0
2022-04-29 06:17:00,0.0
2022-04-29 06:18:00,0.0
2022-04-29 06:19:00,0.0
2022-04-29 06:20:00,0.0
2022-04-29 06:21:00,
2022-04-29 06:22:00,
2022-04-29 06:23:00,0.0
2022-04-29 06:24:00,0.0
2022-04-29 06:25:00,0.0
2022-04-29 06:26:00,0.0
2022-04-29 06:27:00,0.0
2022-04-29 06:28:00,0.0
2022-04-29 06:29:00,0.0
2022-04-29 06:30:00,0.0
2022-04-29 06:31:00,0.0
2022-04-29 06:32:00,0.0
2022-04-29 06:33:00,0.0
2022-04-29 06:34:00,0.0
2022-04-29 06:35:00,0.0
2022-04-29 06:36:00,0.0
2022-04-29 06:37:00,0.0
2022-04-29 06:38:00,0.0
2022-04-29 06:39:00,0.0
2022-04-29 06:40:00,0.0
2022-04-29 06:41:00,0.0
2022-04-29 06:42:00,0.0
2022-04-29 06:43:00,
2022-04-29 06:44:00,
2022-04-29 06:45:00,0.0
2022-04-29 06:46:00,0.0
2022-04-29 06:47:00,0.0
2022-04-29 06:48:00,0.0
2022-04-29 06:49:00,0.0
2022-04-29 06:50:00,
2022-04-29 06:51:00,
2022-04-29 06:52:00,
2022-04-29 06:53:00,
2022-04-29 06:54:00,0.0
2022-04-29 06:55:00,0.0
