,ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0,vwap
0,2022-03-09 01:30:00,4.73,2000.0,600.0,24800.0,4.73,4.73
1,2022-03-09 01:40:00,4.81,200.0,29900.0,59600.0,4.81,4.737272727272727
2,2022-03-09 01:50:00,4.8,300.0,30900.0,24100.0,4.81,4.7448
3,2022-03-09 02:00:00,4.82,4900.0,42800.0,26900.0,4.82,4.794594594594595
4,2022-03-09 02:10:00,4.8,100.0,14210.0,2800.0,4.81,4.794666666666667
5,2022-03-09 02:20:00,4.77,2000.0,2900.0,134200.0,4.77,4.7894736842105265
6,2022-03-09 02:30:00,4.7,1000.0,36000.0,124900.0,4.71,4.780952380952381
7,2022-03-09 02:40:00,4.7,2000.0,14300.0,95800.0,4.71,4.768
8,2022-03-09 02:50:00,4.69,4500.0,7900.0,10200.0,4.7,4.74735294117647
9,2022-03-09 03:00:00,4.67,1200.0,30500.0,42600.0,4.68,4.742252747252747
10,2022-03-09 03:10:00,4.72,200.0,14400.0,19400.0,4.72,4.742010869565218
11,2022-03-09 03:20:00,4.71,2000.0,18000.0,15700.0,4.72,4.738872549019608
12,2022-03-09 03:30:00,4.72,100.0,17900.0,15800.0,4.72,4.7387804878048785
21,2022-03-09 05:00:00,4.75,100.0,35500.0,30100.0,4.75,4.738834951456311
22,2022-03-09 05:10:00,4.77,9000.0,32300.0,37800.0,4.77,4.7483108108108105
23,2022-03-09 05:20:00,4.72,1000.0,18900.0,84300.0,4.72,4.747385620915033
24,2022-03-09 05:30:00,4.73,500.0,20100.0,28500.0,4.73,4.747106109324759
25,2022-03-09 05:40:00,4.63,300.0,17900.0,2000.0,4.65,4.745987261146497
26,2022-03-09 05:50:00,4.72,100.0,4600.0,27300.0,4.73,4.745904761904762
27,2022-03-09 06:00:00,4.7,5000.0,54900.0,19400.0,4.7,4.7396164383561645
28,2022-03-09 06:10:00,4.72,100.0,19300.0,9600.0,4.74,4.739562841530055
29,2022-03-09 06:20:00,4.92,4400.0,76500.0,65900.0,4.92,4.758926829268293
30,2022-03-09 06:30:00,4.94,500.0,62900.0,20800.0,4.94,4.76110843373494
31,2022-03-09 06:40:00,4.88,1100.0,53800.0,172200.0,4.89,4.764178403755869
32,2022-03-09 06:50:00,4.9,600.0,91200.0,172000.0,4.91,4.766064814814815
