ts,ltp,trade_size,level_qty:ask:0,level_qty:bid:0,level_price:ask:0
2022-04-18 01:30:00,9.2,3900.0,89900.0,4300.0,9.2
2022-04-18 01:35:00,9.2,100.0,2300.0,2300.0,9.2
2022-04-18 01:40:00,9.21,395.0,113405.0,6900.0,9.21
2022-04-18 01:45:00,9.26,-200.0,43800.0,23800.0,9.27
2022-04-18 01:50:00,9.3,200.0,267600.0,5100.0,9.3
2022-04-18 01:55:00,9.26,1000.0,27600.0,38000.0,9.26
2022-04-18 02:00:00,9.31,-1000.0,14800.0,25300.0,9.32
2022-04-18 02:05:00,9.32,200.0,14800.0,8400.0,9.32
2022-04-18 02:10:00,9.33,1500.0,61400.0,13900.0,9.33
2022-04-18 02:15:00,9.35,100.0,32200.0,55600.0,9.35
2022-04-18 02:20:00,9.43,400.0,21100.0,17500.0,9.43
2022-04-18 02:25:00,9.42,700.0,22900.0,60700.0,9.42
2022-04-18 02:30:00,9.43,300.0,8400.0,27169.0,9.43
2022-04-18 02:35:00,9.46,-500.0,41600.0,23100.0,9.47
2022-04-18 02:40:00,9.58,400.0,1500.0,28600.0,9.58
2022-04-18 02:45:00,9.55,100.0,127700.0,31000.0,9.55
2022-04-18 02:50:00,9.57,700.0,69300.0,27100.0,9.57
2022-04-18 02:55:00,9.59,100.0,300.0,24200.0,9.59
2022-04-18 03:00:00,9.62,100.0,20500.0,4800.0,9.62
2022-04-18 03:05:00,9.55,100.0,11000.0,57200.0,9.55
2022-04-18 03:10:00,9.51,100.0,124000.0,124400.0,9.51
2022-04-18 03:15:00,9.53,300.0,12200.0,18200.0,9.53
2022-04-18 03:20:00,9.51,100.0,17600.0,20500.0,9.51
2022-04-18 03:25:00,9.45,-2900.0,2100.0,17600.0,9.46
2022-04-18 03:30:00,,,,,
2022-04-18 03:35:00,,,,,
2022-04-18 03:40:00,,,,,
2022-04-18 03:45:00,,,,,
2022-04-18 03:50:00,,,,,
2022-04-18 03:55:00,,,,,
2022-04-18 04:00:00,,,,,
2022-04-18 04:05:00,,,,,
2022-04-18 04:10:00,,,,,
2022-04-18 04:15:00,,,,,
2022-04-18 04:20:00,,,,,
2022-04-18 04:25:00,,,,,
2022-04-18 04:30:00,,,,,
2022-04-18 04:35:00,,,,,
2022-04-18 04:40:00,,,,,
2022-04-18 04:45:00,,,,,
2022-04-18 04:50:00,,,,,
2022-04-18 04:55:00,,,,,
2022-04-18 05:00:00,9.52,4700.0,37600.0,3700.0,9.52
2022-04-18 05:05:00,9.48,10700.0,6600.0,26300.0,9.48
2022-04-18 05:10:00,9.47,100.0,6841.0,18400.0,9.47
2022-04-18 05:15:00,9.48,100.0,40200.0,23400.0,9.48
2022-04-18 05:20:00,9.49,-300.0,69100.0,24000.0,9.51
2022-04-18 05:25:00,9.54,-400.0,123000.0,400.0,9.55
2022-04-18 05:30:00,9.53,-100.0,4600.0,11400.0,9.54
2022-04-18 05:35:00,9.53,-1400.0,93500.0,1500.0,9.54
2022-04-18 05:40:00,9.48,-600.0,13600.0,79600.0,9.49
2022-04-18 05:45:00,9.5,-2500.0,1800.0,10000.0,9.51
2022-04-18 05:50:00,9.53,1000.0,7700.0,40698.0,9.53
2022-04-18 05:55:00,9.62,200.0,22900.0,48000.0,9.62
2022-04-18 06:00:00,9.59,-1100.0,71100.0,5100.0,9.6
2022-04-18 06:05:00,9.59,-1900.0,91000.0,47700.0,9.6
2022-04-18 06:10:00,9.55,-100.0,60200.0,14100.0,9.56
2022-04-18 06:15:00,9.52,-500.0,85300.0,12100.0,9.53
2022-04-18 06:20:00,9.53,-100.0,8200.0,8200.0,9.54
2022-04-18 06:25:00,9.54,100.0,52400.0,100.0,9.54
2022-04-18 06:30:00,9.5,-300.0,5800.0,18600.0,9.51
2022-04-18 06:35:00,9.52,-100.0,120500.0,46000.0,9.53
2022-04-18 06:40:00,9.5,-1000.0,81000.0,41600.0,9.51
2022-04-18 06:45:00,9.49,-500.0,50660.0,88500.0,9.5
2022-04-18 06:50:00,9.55,100.0,243900.0,25600.0,9.55
2022-04-18 06:55:00,9.54,400.0,27100.0,102800.0,9.54
